,Local,,,,,,,,,,,,,,,,,
id,num_ret,num_rel,num_rel_ret,Recall,Precision,F1,F2 (Recall),F0.5 (Precision),inputPath,extractor,outputPathExtractorResult,outputPathTRECFile,date,result,parameters,duration,tester,systemInformation
1,14077,7437,4481,"0,602527901035364","0,318320664914399","0,416565957051222","0,51123787792356","0,351478547337046",/home/massi/projects/result_files/txt,QUICKUMLS,/home/massi/projects/result_files/extractor_results/quickumls,/home/massi/projects/result_files/TREC/quickumls/quickumls_run_1,2017-12-18 09:55:33,SUCCESS,"{-m=3, -s=jaccard, -t=0.7, -w=5, -l=score}",446,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=225772320, total_memory_for_jvm=253231104, jvm_version=25.151-b12}"
2,9288,7437,4371,"0,587736990722065","0,470607235142119","0,522690582959641","0,559867814325238","0,490143308887842",/home/massi/projects/result_files/txt,QUICKUMLS,/home/massi/projects/result_files/extractor_results/quickumls,/home/massi/projects/result_files/TREC/quickumls/quickumls_run_2,2017-12-18 12:26:38,SUCCESS,"{-m=3, -s=jaccard, -t=1.0, -w=5, -l=score}",347,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=220215408, total_memory_for_jvm=308805632, jvm_version=25.151-b12}"
3,13919,7437,4419,"0,594191206131505","0,317479704001724","0,41384154336018","0,50598850390455","0,350086353049292",/home/massi/projects/result_files/txt,QUICKUMLS,/home/massi/projects/result_files/extractor_results/quickumls,/home/massi/projects/result_files/TREC/quickumls/quickumls_run_3,2017-12-18 12:47:58,SUCCESS,"{-m=4, -s=jaccard, -t=0.7, -w=5, -l=score}",445,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=92505448, total_memory_for_jvm=309854208, jvm_version=25.151-b12}"
4,9130,7437,4309,"0,579400295818206","0,471960569550931","0,520190740628961","0,554169453161171","0,490138089496554",/home/massi/projects/result_files/txt,QUICKUMLS,/home/massi/projects/result_files/extractor_results/quickumls,/home/massi/projects/result_files/TREC/quickumls/quickumls_run_4,2017-12-18 13:07:55,SUCCESS,"{-m=4, -s=jaccard, -t=1.0, -w=5, -l=score}",347,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=220644480, total_memory_for_jvm=976748544, jvm_version=25.151-b12}"
5,9996,7437,4371,"0,587736990722065","0,437274909963986","0,501462743073481","0,549894323671498","0,460871765673436",/home/massi/projects/result_files/txt,QUICKUMLS,/home/massi/projects/result_files/extractor_results/quickumls,/home/massi/projects/result_files/TREC/quickumls/quickumls_run_5,2017-12-18 13:18:43,SUCCESS,"{-m=4, -s=jaccard, -t=0.8, -w=5, -l=score}",384,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=735570280, total_memory_for_jvm=915931136, jvm_version=25.151-b12}"
6,7789,7437,1434,"0,192819685356999","0,184105790216973","0,188362012347301","0,191011535285185","0,185784986914725",/home/massi/projects/result_files/txt,QUICKUMLS,/home/massi/projects/result_files/extractor_results/quickumls,/home/massi/projects/result_files/TREC/quickumls/quickumls_run_6,2017-12-18 13:28:56,SUCCESS,"{-m=5, -s=jaccard, -t=0.7, -w=5, -l=score}",439,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=390199400, total_memory_for_jvm=677380096, jvm_version=25.151-b12}"
7,14089,7437,4481,"0,602527901035364","0,318049542196039","0,416333735947227","0,511097930971554","0,351214083049864",/home/massi/projects/result_files/txt,QUICKUMLS,/home/massi/projects/result_files/extractor_results/quickumls,/home/massi/projects/result_files/TREC/quickumls/quickumls_run_7,2017-12-18 13:43:49,SUCCESS,"{-m=2, -s=jaccard, -t=0.7, -w=5, -l=score}",442,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=460601760, total_memory_for_jvm=1281884160, jvm_version=25.151-b12}"
8,103013,7437,4882,"0,656447492268388","0,04739207672818","0,088401991851517","0,183864237238346","0,058189845264119",/home/massi/projects/result_files/txt,QUICKUMLS,/home/massi/projects/result_files/extractor_results/quickumls,/home/massi/projects/result_files/TREC/quickumls/quickumls_run_8,2017-12-18 13:56:00,SUCCESS,"{-m=3, -s=cosine, -t=0.7, -w=5, -l=score}",810,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=59261072, total_memory_for_jvm=890241024, jvm_version=25.151-b12}"
9,14077,7437,4481,"0,602527901035364","0,318320664914399","0,416565957051222","0,51123787792356","0,351478547337046",/home/massi/projects/result_files/txt,QUICKUMLS,/home/massi/projects/result_files/extractor_results/quickumls,/home/massi/projects/result_files/TREC/quickumls/quickumls_run_9,2017-12-18 15:52:46,SUCCESS,"{-m=3, -s=jaccard, -t=0.7, -w=5, -l=length}",442,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=607959984, total_memory_for_jvm=1632108544, jvm_version=25.151-b12}"
10,2561,7437,79,"0,010622562861369","0,030847325263569","0,015803160632127","0,012225695626606","0,02234036536395",/home/massi/projects/result_files/txt_abstracts,QUICKUMLS,/home/massi/projects/result_files/extractor_results/quickumls,/home/massi/projects/result_files/TREC/quickumls/quickumls_run_10,2017-12-18 20:42:22,SUCCESS,"{-m=3, -s=jaccard, -t=0.7, -w=5, -l=score}",275,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=216997056, total_memory_for_jvm=244318208, jvm_version=25.151-b12}"
11,170,7437,73,"0,009815785935189","0,429411764705882","0,019192848691994","0,012200013369878","0,044967352470125",/home/massi/projects/result_files/txt_abstracts,QUICKUMLS,/home/massi/projects/result_files/extractor_results/quickumls,/home/massi/projects/result_files/TREC/quickumls/quickumls_run_11,2017-12-18 20:53:48,SUCCESS,"{-m=4, -s=jaccard, -t=1.0, -w=5, -l=score}",265,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=815778944, total_memory_for_jvm=907542528, jvm_version=25.151-b12}"
12,2561,7437,79,"0,010622562861369","0,030847325263569","0,015803160632127","0,012225695626606","0,02234036536395",/home/massi/projects/result_files/txt_abstracts,QUICKUMLS,/home/massi/projects/result_files/extractor_results/quickumls,/home/massi/projects/result_files/TREC/quickumls/quickumls_run_12,2017-12-18 22:17:45,SUCCESS,"{-m=2, -s=jaccard, -t=0.7, -w=5, -l=score}",276,massi.brero@gmail.com,"{available_processors=4, max_memory_for_jvm=3722969088, os=Linux, java_vendor=Oracle Corporation, Java_version=1.8.0_151, free_memory=632645712, total_memory_for_jvm=907542528, jvm_version=25.151-b12}"
